,Node,Degree Centrality,Degree Centrality Absolute,Degree Centrality Scaled,Degree Centrality Scaled Cap,Closeness Centrality,Adjusted Closeness Centrality
0,0,0.2272727272727273,5.0,0.8333333333333334,,0.1864406779661017,
1,1,0.2727272727272727,6.0,1.0,1.0,0.18032786885245902,1.3101792886935013
2,2,0.045454545454545456,1.0,0.16666666666666666,0.16666666666666666,0.11891891891891893,0.7916062390751153
3,3,0.18181818181818182,4.0,0.6666666666666666,,0.16923076923076924,
4,4,0.13636363636363635,3.0,0.5,0.5,0.2018348623853211,2.099600081809527
5,5,0.09090909090909091,2.0,0.3333333333333333,0.3333333333333333,0.13253012048192772,0.9795784793374355
6,6,0.18181818181818182,4.0,0.6666666666666666,0.6666666666666666,0.16541353383458646,0.9912665175307759
7,7,0.09090909090909091,2.0,0.3333333333333333,0.3333333333333333,0.1375,0.8367111703971444
8,8,0.2272727272727273,5.0,0.8333333333333334,,0.19642857142857142,
9,9,0.13636363636363635,3.0,0.5,0.5,0.17054263565891473,1.3493093480908258
10,10,0.045454545454545456,1.0,0.16666666666666666,0.16666666666666666,0.11224489795918367,0.6627737861011759
11,11,0.045454545454545456,1.0,0.16666666666666666,0.16666666666666666,0.102803738317757,0.7525831755804804
12,12,0.045454545454545456,1.0,0.16666666666666666,0.16666666666666666,0.11224489795918367,0.9010363111131836
13,13,0.18181818181818182,4.0,0.6666666666666666,,0.1476510067114094,
14,14,0.18181818181818182,4.0,0.6666666666666666,,0.17886178861788618,
15,15,0.09090909090909091,2.0,0.3333333333333333,,0.13664596273291926,
16,16,0.09090909090909091,2.0,0.3333333333333333,0.3333333333333333,0.1506849315068493,1.1415453509267726
17,17,0.045454545454545456,1.0,0.16666666666666666,,0.1527777777777778,
18,18,0.045454545454545456,1.0,0.16666666666666666,,0.12941176470588237,
19,19,0.045454545454545456,1.0,0.16666666666666666,,0.12087912087912088,
20,20,0.045454545454545456,1.0,0.16666666666666666,,0.1456953642384106,
21,21,0.045454545454545456,1.0,0.16666666666666666,,0.15827338129496402,
22,22,0.045454545454545456,1.0,0.16666666666666666,,0.16541353383458646,
