;Node_0;Node_1;Node_2;Node_3;Node_4;Node_5;Node_6;Node_7;Node_8;Node_9;Node_10;Node_11;Node_12;Node_13;Node_14;Node_15;Node_16;Node_17;Node_18;Node_19;Node_20;Node_21;Node_22;Node_23;Node_24;Node_25;Node_26;Node_27;Node_28;Node_29;Node_30;Node_31;Node_32;Node_33;Node_34;Node_35;Node_36;Node_37;Node_38;Node_39;Node_40;Node_41;Node_42;Node_43;Node_44;Node_45;Node_46;Node_47;Node_48;Node_49;Node_50;Node_51;Node_52;Node_53;Node_54
Node_0;1000;4;1000;1000;2;1000;1000;1000;1000;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;3;1000;4;1000;1000;1000;1000;4;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1;1000;1000;1000;1000;1000
Node_1;4;1000;4;4;1000;3;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;4;1000;1000;1000;1;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_2;1000;4;1000;1000;1000;3;1000;1000;1000;1000;4;1000;1000;1000;3;4;1000;1000;1000;1000;1000;1000;3;1000;3;1000;1000;1000;1000;2;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_3;1000;4;1000;1000;1000;1000;1000;1000;1000;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;3;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_4;2;1000;1000;1000;1000;1000;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_5;1000;3;3;1000;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;3;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;3;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_6;1000;2;1000;1000;1000;2;1000;2;1000;1000;3;1000;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;4;1000;4;1000;1000;2;1000;1000;1000;1;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_7;1000;1000;1000;1000;1000;1000;2;1000;1000;1000;1000;1000;2;1000;1000;4;1000;1000;4;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_8;1000;1000;1000;1000;2;1000;1000;1000;1000;3;1000;1000;3;1000;1000;1000;1000;1000;1000;1000;1000;3;1000;4;1000;1000;1000;1000;2;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1;1000;1000;1000;1000;1000;1000;1000;1000;1000
Node_9;1000;1000;1000;1000;1000;1000;1000;1000;3;1000;1000;1000;1000;3;1000;1000;1000;4;4;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;3;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
