Train_stat;Capacity
Node_6;0
Node_32;0
Node_36;0
Node_1;0
Node_11;0
Node_8;0
Node_18;0
Node_16;0
Node_39;0
Node_0;0
Node_34;0
Node_17;0
Node_12;0
Node_30;0
Node_27;0
Node_40;0
Node_41;0
Node_42;0
Node_43;0
Node_44;0
Node_45;0
Node_46;0
Node_47;0
Node_48;0
Node_49;0
Node_50;0
Node_51;0
Node_52;0
Node_53;0
Node_54;0
Node_2;5
Node_3;5
Node_4;5
Node_5;5
Node_7;5
Node_9;5
Node_10;5
Node_13;5
Node_14;5
Node_15;5
Node_19;5
Node_20;5
Node_21;5
Node_22;5
Node_23;5
Node_24;5
Node_25;5
Node_26;5
Node_28;5
Node_29;5
Node_31;5
Node_33;5
Node_35;5
Node_37;5
Node_38;5
