,Node1,Node2,Betweenness_Centrality,Weighted_Betweenness_Centrality
0,Amst,Linz,0.16403162055335968,3.300000000000001
1,Amst,Selz,0.037549407114624504,0.7
2,Amst,Wien,0.13833992094861658,3.200000000000001
3,Attn,Linz,0.22727272727272727,4.800000000000002
4,Attn,Salz,0.2885375494071146,6.300000000000002
5,Attn,Stain,0.09683794466403162,2.3000000000000003
6,Bisch,Salz,0.20158102766798416,4.700000000000001
7,Bisch,Schw,0.14822134387351776,2.5000000000000004
8,Bisch,Stain,0.12055335968379446,2.0000000000000004
9,Bruck,Graz,0.1660079051383399,3.100000000000001
10,Bruck,StMich,0.26482213438735175,4.600000000000001
11,Bruck,WrNeu,0.09881422924901186,1.5999999999999999
12,Graz,GrazH,0.08695652173913043,1.2
13,Inns,InnsH,0.08695652173913043,1.0
14,Inns,Worgl,0.1660079051383399,3.1000000000000014
15,Kla,KlaH,0.08695652173913043,0.7999999999999999
16,Kla,StMich,0.10474308300395256,2.2
17,Kla,Vill,0.12055335968379446,2.6000000000000005
18,Linz,LinzH,0.08695652173913043,0.8
19,Linz,Selz,0.03952569169960474,0.9
20,Salz,SalzH,0.08695652173913043,0.8999999999999999
21,Salz,Worgl,0.18972332015810275,3.300000000000002
22,Schw,Vill,0.13241106719367587,2.6000000000000005
23,Schw,Worgl,0.04743083003952569,0.7
24,Selz,StMich,0.24308300395256915,4.300000000000001
25,Selz,Stain,0.20553359683794464,3.800000000000002
26,Wien,WienH,0.08695652173913043,0.8
27,Wien,WrNeu,0.09881422924901186,1.9999999999999998
