,Node,Degree Centrality,Degree Centrality Absolute,Degree Centrality Scaled,Degree Centrality Scaled Cap,Closeness Centrality,Adjusted Closeness Centrality
0,Amst,0.13636363636363635,3.0,0.75,0.75,0.09691629955947137,0.6521739130434782
1,Attn,0.13636363636363635,3.0,0.75,0.75,0.11891891891891893,0.7692307692307692
2,Bisch,0.13636363636363635,3.0,0.75,0.75,0.11224489795918367,0.6666666666666666
3,Bruck,0.13636363636363635,3.0,0.75,0.75,0.0990990990990991,0.5660377358490566
4,Graz,0.09090909090909091,2.0,0.5,,0.08461538461538462,
5,GrazH,0.045454545454545456,1.0,0.25,,0.07829181494661921,
6,Inns,0.09090909090909091,2.0,0.5,,0.07028753993610223,
7,InnsH,0.045454545454545456,1.0,0.25,,0.0658682634730539,
8,Kla,0.13636363636363635,3.0,0.75,,0.07801418439716312,
9,KlaH,0.045454545454545456,1.0,0.25,,0.07260726072607261,
10,Linz,0.18181818181818182,4.0,1.0,,0.10891089108910891,
11,LinzH,0.045454545454545456,1.0,0.25,,0.09865470852017937,
12,Salz,0.18181818181818182,4.0,1.0,,0.1134020618556701,
13,SalzH,0.045454545454545456,1.0,0.25,,0.10232558139534884,
14,Schw,0.13636363636363635,3.0,0.75,0.75,0.10576923076923077,0.631578947368421
15,Selz,0.18181818181818182,4.0,1.0,1.0,0.11,0.6
16,StMich,0.13636363636363635,3.0,0.75,0.75,0.10426540284360189,0.588235294117647
17,Stain,0.13636363636363635,3.0,0.75,0.75,0.10945273631840796,0.5882352941176471
18,Vill,0.09090909090909091,2.0,0.5,0.5,0.07913669064748201,0.4878048780487805
19,Wien,0.13636363636363635,3.0,0.75,,0.08527131782945736,
20,WienH,0.045454545454545456,1.0,0.25,,0.07885304659498207,
21,Worgl,0.13636363636363635,3.0,0.75,0.75,0.08,0.5172413793103448
22,WrNeu,0.09090909090909091,2.0,0.5,0.5,0.08239700374531835,0.5405405405405405
