,Node,Degree Centrality,Degree Centrality Absolute,Degree Centrality Scaled,Degree Centrality Scaled Cap,Closeness Centrality,Adjusted Closeness Centrality
0,Angers,0.1111111111111111,3.0,0.5,0.5,0.06958762886597938,1.1607142857142854
1,AngersH,0.037037037037037035,1.0,0.16666666666666666,,0.06521739130434782,
2,Avignon,0.1111111111111111,3.0,0.5,0.5,0.06585365853658537,0.8843537414965986
3,Bordeaux,0.07407407407407407,2.0,0.3333333333333333,0.3333333333333333,0.05818965517241379,0.9848484848484848
4,BordeauxH,0.037037037037037035,1.0,0.16666666666666666,,0.05510204081632653,
5,Dijon,0.14814814814814814,4.0,0.6666666666666666,0.6666666666666666,0.09183673469387756,1.5662650602409638
6,DijonH,0.037037037037037035,1.0,0.16666666666666666,,0.084375,
7,LeMans,0.1111111111111111,3.0,0.5,0.5,0.08231707317073171,1.4772727272727275
8,Lille,0.07407407407407407,2.0,0.3333333333333333,0.3333333333333333,0.06887755102040816,1.238095238095238
9,LilleH,0.037037037037037035,1.0,0.16666666666666666,,0.0645933014354067,
10,Lyon,0.1111111111111111,3.0,0.5,0.5,0.07627118644067797,1.0924369747899159
11,LyonH,0.037037037037037035,1.0,0.16666666666666666,,0.07105263157894737,
12,Marseille,0.07407407407407407,2.0,0.3333333333333333,0.3333333333333333,0.05895196506550218,0.7878787878787878
13,MarseilleH,0.037037037037037035,1.0,0.16666666666666666,,0.05578512396694215,
14,Montpellier,0.07407407407407407,2.0,0.3333333333333333,0.3333333333333333,0.056485355648535567,0.7514450867052023
15,MontpellierH,0.037037037037037035,1.0,0.16666666666666666,,0.05357142857142857,
16,Nantes,0.07407407407407407,2.0,0.3333333333333333,0.3333333333333333,0.058695652173913045,0.9352517985611509
17,NantesH,0.037037037037037035,1.0,0.16666666666666666,,0.05555555555555555,
18,Nimes,0.1111111111111111,3.0,0.5,0.5,0.06279069767441861,0.8387096774193548
19,NimesH,0.037037037037037035,1.0,0.16666666666666666,,0.05921052631578947,
20,Paris,0.2222222222222222,6.0,1.0,1.0,0.09926470588235294,2.1666666666666665
21,ParisH,0.037037037037037035,1.0,0.16666666666666666,,0.09060402684563758,
22,Reims,0.1111111111111111,3.0,0.5,0.5,0.08132530120481928,1.5476190476190474
23,ReimsH,0.037037037037037035,1.0,0.16666666666666666,,0.07541899441340782,
24,Rennes,0.07407407407407407,2.0,0.3333333333333333,0.3333333333333333,0.05443548387096774,0.8609271523178808
25,RennesH,0.037037037037037035,1.0,0.16666666666666666,,0.05172413793103448,
26,Strasbourg,0.1111111111111111,3.0,0.5,0.5,0.0625,1.015625
27,StrasbourgH,0.037037037037037035,1.0,0.16666666666666666,,0.05895196506550218,
