id;lat;lon
Paris;48.85783393;2.344271281
Angers;47.47316316;-0.558224348
Bordeaux;44.84251351;-0.578463449
Dijon;47.3285825;5.044917839
Lille;50.62364666;3.067092266
Lyon;45.76319057;4.835462843
Marseille;43.30021278;5.371006461
Montpellier;43.60515325;3.856213261
Nantes;47.21861973;-1.557248856
Nimes;43.83500922;4.358633568
Strasbourg;48.57352275;7.763435606
Reims;49.2606817;4.030384666
Rennes;48.11738964;-1.68648261
Avignon;43.9477064;4.802353979
LeMans;48.00531022;0.202906778
ParisH;48.65783393;2.344271281
AngersH;47.67316316;-0.558224348
BordeauxH;44.64251351;-0.578463449
DijonH;47.3285825;4.844917839
LilleH;50.52364666;3.167092266
LyonH;45.76319057;4.635462843
MarseilleH;43.30021278;5.571006461
MontpellierH;43.60515325;3.656213261
NantesH;47.41861973;-1.557248856
NimesH;43.63500922;4.358633568
StrasbourgH;48.37352275;7.763435606
ReimsH;49.4606817;4.030384666
RennesH;48.11738964;-1.88648261
